tipo,entidad,modelo,mes,parametro,categoria,peso_kpi2
sucursal,altabrisa,Cafetería,2026-09,"Limpieza de pisos",interiores,2
sucursal,altabrisa,Cafetería,2026-09,"Estado de botes de basura",interiores,2
sucursal,altabrisa,Cafetería,2026-09,"Limpieza de barra",interiores,2
sucursal,altabrisa,Cafetería,2026-09,"Climatización",interiores,4
sucursal,altabrisa,Cafetería,2026-09,"Estado de muebles",interiores,2
sucursal,altabrisa,Cafetería,2026-10,"Contacto visual y saludo",bienvenida,6
sucursal,altabrisa,Cafetería,2026-10,"Agradecimiento y despedida",bienvenida,4
sucursal,altabrisa,Cafetería,2026-10,"Conocimiento de productos",producto_ventas,4
sucursal,altabrisa,Cafetería,2026-10,"Producto del mes",producto_ventas,4
sucursal,altabrisa,Cafetería,2026-10,"Venta cruzada",producto_ventas,7
sucursal,altabrisa,Cafetería,2026-10,"APP Cabaña Cash",producto_ventas,5
sucursal,altabrisa,Cafetería,2026-10,"Menciona promociones",producto_ventas,4
sucursal,altabrisa,Cafetería,2026-10,"Atención en mesa",atencion_mesa,2
sucursal,altabrisa,Cafetería,2026-10,"Entrega de ticket",atencion_mesa,3
sucursal,altabrisa,Cafetería,2026-10,"Tiempo de espera de atención",tiempos,3
sucursal,altabrisa,Cafetería,2026-10,"Tiempo de preparación",tiempos,4
sucursal,altabrisa,Cafetería,2026-10,"Cantidad de colaboradores",personal,1
sucursal,altabrisa,Cafetería,2026-10,"Apariencia del personal",personal,2
sucursal,altabrisa,Cafetería,2026-10,"Uso de tableta",personal,1
sucursal,altabrisa,Cafetería,2026-10,"Pin personalizador",personal,4
sucursal,altabrisa,Cafetería,2026-10,"Presentación del vaso",presentacion_producto,2
sucursal,altabrisa,Cafetería,2026-10,"Presentación del café",presentacion_producto,7
sucursal,altabrisa,Cafetería,2026-10,"Presentación de alimentos",presentacion_producto,4
sucursal,altabrisa,Cafetería,2026-10,"Estado de la panera",presentacion_producto,2
sucursal,altabrisa,Cafetería,2026-10,"Existencia",presentacion_producto,3
sucursal,altabrisa,Cafetería,2026-10,"Limpieza de fachada",exteriores,4
sucursal,altabrisa,Cafetería,2026-10,"Letrero/anuncio",exteriores,2
sucursal,altabrisa,Cafetería,2026-10,"Iluminación",interiores,2
sucursal,altabrisa,Cafetería,2026-10,"Área de mostrador",interiores,3
sucursal,altabrisa,Cafetería,2026-10,"Limpieza de mesas y sillas",interiores,3
sucursal,altabrisa,Cafetería,2026-10,"Limpieza de pisos",interiores,3
sucursal,altabrisa,Cafetería,2026-10,"Estado de botes de basura",interiores,2
sucursal,altabrisa,Cafetería,2026-10,"Limpieza de barra",interiores,2
sucursal,altabrisa,Cafetería,2026-10,"Climatización",interiores,4
sucursal,altabrisa,Cafetería,2026-10,"Estado de muebles",interiores,3
sucursal,americas,Cafetería,2026-09,"Contacto visual y saludo",bienvenida,4
sucursal,americas,Cafetería,2026-09,"Agradecimiento y despedida",bienvenida,2
sucursal,americas,Cafetería,2026-09,"Conocimiento de productos",producto_ventas,2
sucursal,americas,Cafetería,2026-09,"Producto del mes",producto_ventas,3
sucursal,americas,Cafetería,2026-09,"Venta cruzada",producto_ventas,5
sucursal,americas,Cafetería,2026-09,"APP Cabaña Cash",producto_ventas,9
sucursal,americas,Cafetería,2026-09,"Menciona promociones",producto_ventas,3
sucursal,americas,Cafetería,2026-09,"Atención en mesa",atencion_mesa,2
sucursal,americas,Cafetería,2026-09,"Entrega de ticket",atencion_mesa,3
sucursal,americas,Cafetería,2026-09,"Tiempo de espera de atención",tiempos,3
sucursal,americas,Cafetería,2026-09,"Tiempo de preparación",tiempos,4
sucursal,americas,Cafetería,2026-09,"Cantidad de colaboradores",personal,1
sucursal,americas,Cafetería,2026-09,"Apariencia del personal",personal,2
sucursal,americas,Cafetería,2026-09,"Uso de tableta",personal,1
sucursal,americas,Cafetería,2026-09,"Pin personalizador",personal,3
sucursal,americas,Cafetería,2026-09,"Presentación del vaso",presentacion_producto,2
sucursal,americas,Cafetería,2026-09,"Presentación del café",presentacion_producto,4
sucursal,americas,Cafetería,2026-09,"Presentación de alimentos",presentacion_producto,4
sucursal,americas,Cafetería,2026-09,"Estado de la panera",presentacion_producto,2
sucursal,americas,Cafetería,2026-09,"Existencia",presentacion_producto,5
sucursal,americas,Cafetería,2026-09,"Limpieza de fachada",exteriores,2
sucursal,americas,Cafetería,2026-09,"Letrero/anuncio",exteriores,2
sucursal,americas,Cafetería,2026-09,"Iluminación",interiores,2
sucursal,americas,Cafetería,2026-09,"Área de mostrador",interiores,2
sucursal,americas,Cafetería,2026-09,"Limpieza de mesas y sillas",interiores,2
sucursal,americas,Cafetería,2026-09,"Limpieza de pisos",interiores,2
sucursal,americas,Cafetería,2026-09,"Estado de botes de basura",interiores,2
sucursal,americas,Cafetería,2026-09,"Limpieza de barra",interiores,2
sucursal,americas,Cafetería,2026-09,"Climatización",interiores,4
sucursal,americas,Cafetería,2026-09,"Estado de muebles",interiores,2
sucursal,americas,Cafetería,2026-10,"Contacto visual y saludo",bienvenida,6
sucursal,americas,Cafetería,2026-10,"Agradecimiento y despedida",bienvenida,4
sucursal,americas,Cafetería,2026-10,"Conocimiento de productos",producto_ventas,4
sucursal,americas,Cafetería,2026-10,"Producto del mes",producto_ventas,4
sucursal,americas,Cafetería,2026-10,"Venta cruzada",producto_ventas,7
sucursal,americas,Cafetería,2026-10,"APP Cabaña Cash",producto_ventas,5
sucursal,americas,Cafetería,2026-10,"Menciona promociones",producto_ventas,4
sucursal,americas,Cafetería,2026-10,"Atención en mesa",atencion_mesa,2
sucursal,americas,Cafetería,2026-10,"Entrega de ticket",atencion_mesa,3
sucursal,americas,Cafetería,2026-10,"Tiempo de espera de atención",tiempos,3
sucursal,americas,Cafetería,2026-10,"Tiempo de preparación",tiempos,4
sucursal,americas,Cafetería,2026-10,"Cantidad de colaboradores",personal,1
sucursal,americas,Cafetería,2026-10,"Apariencia del personal",personal,2
sucursal,americas,Cafetería,2026-10,"Uso de tableta",personal,1
sucursal,americas,Cafetería,2026-10,"Pin personalizador",personal,4
sucursal,americas,Cafetería,2026-10,"Presentación del vaso",presentacion_producto,2
sucursal,americas,Cafetería,2026-10,"Presentación del café",presentacion_producto,7
sucursal,americas,Cafetería,2026-10,"Presentación de alimentos",presentacion_producto,4
sucursal,americas,Cafetería,2026-10,"Estado de la panera",presentacion_producto,2
sucursal,americas,Cafetería,2026-10,"Existencia",presentacion_producto,3
sucursal,americas,Cafetería,2026-10,"Limpieza de fachada",exteriores,4
sucursal,americas,Cafetería,2026-10,"Letrero/anuncio",exteriores,2
sucursal,americas,Cafetería,2026-10,"Iluminación",interiores,2
sucursal,americas,Cafetería,2026-10,"Área de mostrador",interiores,3
sucursal,americas,Cafetería,2026-10,"Limpieza de mesas y sillas",interiores,3
sucursal,americas,Cafetería,2026-10,"Limpieza de pisos",interiores,3
sucursal,americas,Cafetería,2026-10,"Estado de botes de basura",interiores,2
sucursal,americas,Cafetería,2026-10,"Limpieza de barra",interiores,2
sucursal,americas,Cafetería,2026-10,"Climatización",interiores,4
sucursal,americas,Cafetería,2026-10,"Estado de muebles",interiores,3
sucursal,angeles,Cafetería,2026-09,"Contacto visual y saludo",bienvenida,4
sucursal,angeles,Cafetería,2026-09,"Agradecimiento y despedida",bienvenida,2
sucursal,angeles,Cafetería,2026-09,"Conocimiento de productos",producto_ventas,2
sucursal,angeles,Cafetería,2026-09,"Producto del mes",producto_ventas,3
sucursal,angeles,Cafetería,2026-09,"Venta cruzada",producto_ventas,5
sucursal,angeles,Cafetería,2026-09,"APP Cabaña Cash",producto_ventas,9
sucursal,angeles,Cafetería,2026-09,"Menciona promociones",producto_ventas,3
sucursal,angeles,Cafetería,2026-09,"Atención en mesa",atencion_mesa,2
sucursal,angeles,Cafetería,2026-09,"Entrega de ticket",atencion_mesa,3
sucursal,angeles,Cafetería,2026-09,"Tiempo de espera de atención",tiempos,3
sucursal,angeles,Cafetería,2026-09,"Tiempo de preparación",tiempos,4
sucursal,angeles,Cafetería,2026-09,"Cantidad de colaboradores",personal,1
sucursal,angeles,Cafetería,2026-09,"Apariencia del personal",personal,2
sucursal,angeles,Cafetería,2026-09,"Uso de tableta",personal,1
sucursal,angeles,Cafetería,2026-09,"Pin personalizador",personal,3
sucursal,angeles,Cafetería,2026-09,"Presentación del vaso",presentacion_producto,2
sucursal,angeles,Cafetería,2026-09,"Presentación del café",presentacion_producto,4
sucursal,angeles,Cafetería,2026-09,"Presentación de alimentos",presentacion_producto,4
sucursal,angeles,Cafetería,2026-09,"Estado de la panera",presentacion_producto,2
sucursal,angeles,Cafetería,2026-09,"Existencia",presentacion_producto,5
sucursal,angeles,Cafetería,2026-09,"Limpieza de fachada",exteriores,2
sucursal,angeles,Cafetería,2026-09,"Letrero/anuncio",exteriores,2
sucursal,angeles,Cafetería,2026-09,"Iluminación",interiores,2
sucursal,angeles,Cafetería,2026-09,"Área de mostrador",interiores,2
sucursal,angeles,Cafetería,2026-09,"Limpieza de mesas y sillas",interiores,2
sucursal,angeles,Cafetería,2026-09,"Limpieza de pisos",interiores,2
sucursal,angeles,Cafetería,2026-09,"Estado de botes de basura",interiores,2
sucursal,angeles,Cafetería,2026-09,"Limpieza de barra",interiores,2
sucursal,angeles,Cafetería,2026-09,"Climatización",interiores,4
sucursal,angeles,Cafetería,2026-09,"Estado de muebles",interiores,2
sucursal,angeles,Cafetería,2026-10,"Contacto visual y saludo",bienvenida,6
sucursal,angeles,Cafetería,2026-10,"Agradecimiento y despedida",bienvenida,4
sucursal,angeles,Cafetería,2026-10,"Conocimiento de productos",producto_ventas,4
sucursal,angeles,Cafetería,2026-10,"Producto del mes",producto_ventas,4
sucursal,angeles,Cafetería,2026-10,"Venta cruzada",producto_ventas,7
sucursal,angeles,Cafetería,2026-10,"APP Cabaña Cash",producto_ventas,5
sucursal,angeles,Cafetería,2026-10,"Menciona promociones",producto_ventas,4
sucursal,angeles,Cafetería,2026-10,"Atención en mesa",atencion_mesa,2
sucursal,angeles,Cafetería,2026-10,"Entrega de ticket",atencion_mesa,3
sucursal,angeles,Cafetería,2026-10,"Tiempo de espera de atención",tiempos,3
sucursal,angeles,Cafetería,2026-10,"Tiempo de preparación",tiempos,4
sucursal,angeles,Cafetería,2026-10,"Cantidad de colaboradores",personal,1
sucursal,angeles,Cafetería,2026-10,"Apariencia del personal",personal,2
sucursal,angeles,Cafetería,2026-10,"Uso de tableta",personal,1
sucursal,angeles,Cafetería,2026-10,"Pin personalizador",personal,4
sucursal,angeles,Cafetería,2026-10,"Presentación del vaso",presentacion_producto,2
sucursal,angeles,Cafetería,2026-10,"Presentación del café",presentacion_producto,7
sucursal,angeles,Cafetería,2026-10,"Presentación de alimentos",presentacion_producto,4
sucursal,angeles,Cafetería,2026-10,"Estado de la panera",presentacion_producto,2
sucursal,angeles,Cafetería,2026-10,"Existencia",presentacion_producto,3
sucursal,angeles,Cafetería,2026-10,"Limpieza de fachada",exteriores,4
sucursal,angeles,Cafetería,2026-10,"Letrero/anuncio",exteriores,2
sucursal,angeles,Cafetería,2026-10,"Iluminación",interiores,2
sucursal,angeles,Cafetería,2026-10,"Área de mostrador",interiores,3
sucursal,angeles,Cafetería,2026-10,"Limpieza de mesas y sillas",interiores,3
sucursal,angeles,Cafetería,2026-10,"Limpieza de pisos",interiores,3
sucursal,angeles,Cafetería,2026-10,"Estado de botes de basura",interiores,2
sucursal,angeles,Cafetería,2026-10,"Limpieza de barra",interiores,2
sucursal,angeles,Cafetería,2026-10,"Climatización",interiores,4
sucursal,angeles,Cafetería,2026-10,"Estado de muebles",interiores,3
sucursal,galerias,Cafetería,2026-09,"Contacto visual y saludo",bienvenida,4
sucursal,galerias,Cafetería,2026-09,"Agradecimiento y despedida",bienvenida,2
sucursal,galerias,Cafetería,2026-09,"Conocimiento de productos",producto_ventas,2
sucursal,galerias,Cafetería,2026-09,"Producto del mes",producto_ventas,3
sucursal,galerias,Cafetería,2026-09,"Venta cruzada",producto_ventas,5
sucursal,galerias,Cafetería,2026-09,"APP Cabaña Cash",producto_ventas,9
sucursal,galerias,Cafetería,2026-09,"Menciona promociones",producto_ventas,3
sucursal,galerias,Cafetería,2026-09,"Atención en mesa",atencion_mesa,2
sucursal,galerias,Cafetería,2026-09,"Entrega de ticket",atencion_mesa,3
sucursal,galerias,Cafetería,2026-09,"Tiempo de espera de atención",tiempos,3
sucursal,galerias,Cafetería,2026-09,"Tiempo de preparación",tiempos,4
sucursal,galerias,Cafetería,2026-09,"Cantidad de colaboradores",personal,1
sucursal,galerias,Cafetería,2026-09,"Apariencia del personal",personal,2
sucursal,galerias,Cafetería,2026-09,"Uso de tableta",personal,1
sucursal,galerias,Cafetería,2026-09,"Pin personalizador",personal,3
sucursal,galerias,Cafetería,2026-09,"Presentación del vaso",presentacion_producto,2
sucursal,galerias,Cafetería,2026-09,"Presentación del café",presentacion_producto,4
sucursal,galerias,Cafetería,2026-09,"Presentación de alimentos",presentacion_producto,4
sucursal,galerias,Cafetería,2026-09,"Estado de la panera",presentacion_producto,2
sucursal,galerias,Cafetería,2026-09,"Existencia",presentacion_producto,5
sucursal,galerias,Cafetería,2026-09,"Limpieza de fachada",exteriores,2
sucursal,galerias,Cafetería,2026-09,"Letrero/anuncio",exteriores,2
sucursal,galerias,Cafetería,2026-09,"Iluminación",interiores,2
sucursal,galerias,Cafetería,2026-09,"Área de mostrador",interiores,2
sucursal,galerias,Cafetería,2026-09,"Limpieza de mesas y sillas",interiores,2
sucursal,galerias,Cafetería,2026-09,"Limpieza de pisos",interiores,2
sucursal,galerias,Cafetería,2026-09,"Estado de botes de basura",interiores,2
sucursal,galerias,Cafetería,2026-09,"Limpieza de barra",interiores,2
sucursal,galerias,Cafetería,2026-09,"Climatización",interiores,4
sucursal,galerias,Cafetería,2026-09,"Estado de muebles",interiores,2
sucursal,galerias,Cafetería,2026-10,"Contacto visual y saludo",bienvenida,6
sucursal,galerias,Cafetería,2026-10,"Agradecimiento y despedida",bienvenida,4
sucursal,galerias,Cafetería,2026-10,"Conocimiento de productos",producto_ventas,4
sucursal,galerias,Cafetería,2026-10,"Producto del mes",producto_ventas,4
sucursal,galerias,Cafetería,2026-10,"Venta cruzada",producto_ventas,7
sucursal,galerias,Cafetería,2026-10,"APP Cabaña Cash",producto_ventas,5
sucursal,galerias,Cafetería,2026-10,"Menciona promociones",producto_ventas,4
sucursal,galerias,Cafetería,2026-10,"Atención en mesa",atencion_mesa,2
sucursal,galerias,Cafetería,2026-10,"Entrega de ticket",atencion_mesa,3
sucursal,galerias,Cafetería,2026-10,"Tiempo de espera de atención",tiempos,3
sucursal,galerias,Cafetería,2026-10,"Tiempo de preparación",tiempos,4
sucursal,galerias,Cafetería,2026-10,"Cantidad de colaboradores",personal,1
sucursal,galerias,Cafetería,2026-10,"Apariencia del personal",personal,2
sucursal,galerias,Cafetería,2026-10,"Uso de tableta",personal,1
sucursal,galerias,Cafetería,2026-10,"Pin personalizador",personal,4
sucursal,galerias,Cafetería,2026-10,"Presentación del vaso",presentacion_producto,2
sucursal,galerias,Cafetería,2026-10,"Presentación del café",presentacion_producto,7
sucursal,galerias,Cafetería,2026-10,"Presentación de alimentos",presentacion_producto,4
sucursal,galerias,Cafetería,2026-10,"Estado de la panera",presentacion_producto,2
sucursal,galerias,Cafetería,2026-10,"Existencia",presentacion_producto,3
sucursal,galerias,Cafetería,2026-10,"Limpieza de fachada",exteriores,4
sucursal,galerias,Cafetería,2026-10,"Letrero/anuncio",exteriores,2
sucursal,galerias,Cafetería,2026-10,"Iluminación",interiores,2
sucursal,galerias,Cafetería,2026-10,"Área de mostrador",interiores,3
sucursal,galerias,Cafetería,2026-10,"Limpieza de mesas y sillas",interiores,3
sucursal,galerias,Cafetería,2026-10,"Limpieza de pisos",interiores,3
sucursal,galerias,Cafetería,2026-10,"Estado de botes de basura",interiores,2
sucursal,galerias,Cafetería,2026-10,"Limpieza de barra",interiores,2
sucursal,galerias,Cafetería,2026-10,"Climatización",interiores,4
sucursal,galerias,Cafetería,2026-10,"Estado de muebles",interiores,3
sucursal,centro,Cafetería,2026-09,"Contacto visual y saludo",bienvenida,4
sucursal,centro,Cafetería,2026-09,"Agradecimiento y despedida",bienvenida,2
sucursal,centro,Cafetería,2026-09,"Conocimiento de productos",producto_ventas,2
sucursal,centro,Cafetería,2026-09,"Producto del mes",producto_ventas,3
sucursal,centro,Cafetería,2026-09,"Venta cruzada",producto_ventas,5
sucursal,centro,Cafetería,2026-09,"APP Cabaña Cash",producto_ventas,9
sucursal,centro,Cafetería,2026-09,"Menciona promociones",producto_ventas,3
sucursal,centro,Cafetería,2026-09,"Atención en mesa",atencion_mesa,2
sucursal,centro,Cafetería,2026-09,"Entrega de ticket",atencion_mesa,3
sucursal,centro,Cafetería,2026-09,"Tiempo de espera de atención",tiempos,3
sucursal,centro,Cafetería,2026-09,"Tiempo de preparación",tiempos,4
sucursal,centro,Cafetería,2026-09,"Cantidad de colaboradores",personal,1
sucursal,centro,Cafetería,2026-09,"Apariencia del personal",personal,2
sucursal,centro,Cafetería,2026-09,"Uso de tableta",personal,1
sucursal,centro,Cafetería,2026-09,"Pin personalizador",personal,3
sucursal,centro,Cafetería,2026-09,"Presentación del vaso",presentacion_producto,2
sucursal,centro,Cafetería,2026-09,"Presentación del café",presentacion_producto,4
sucursal,centro,Cafetería,2026-09,"Presentación de alimentos",presentacion_producto,4
sucursal,centro,Cafetería,2026-09,"Estado de la panera",presentacion_producto,2
sucursal,centro,Cafetería,2026-09,"Existencia",presentacion_producto,5
sucursal,centro,Cafetería,2026-09,"Limpieza de fachada",exteriores,2
sucursal,centro,Cafetería,2026-09,"Letrero/anuncio",exteriores,2
sucursal,centro,Cafetería,2026-09,"Iluminación",interiores,2
sucursal,centro,Cafetería,2026-09,"Puertas y vidrios",interiores,2
sucursal,centro,Cafetería,2026-09,"Música y volumen",interiores,2
sucursal,centro,Cafetería,2026-09,"Área de mostrador",interiores,2
sucursal,centro,Cafetería,2026-09,"Limpieza de mesas y sillas",interiores,2
sucursal,centro,Cafetería,2026-09,"Limpieza de pisos",interiores,2
sucursal,centro,Cafetería,2026-09,"Estado de baños",interiores,4
sucursal,centro,Cafetería,2026-09,"Limpieza de barra",interiores,2
sucursal,centro,Cafetería,2026-09,"Climatización",interiores,4
sucursal,centro,Cafetería,2026-09,"Estado de muebles",interiores,2
sucursal,centro,Cafetería,2026-10,"Contacto visual y saludo",bienvenida,6
sucursal,centro,Cafetería,2026-10,"Agradecimiento y despedida",bienvenida,4
sucursal,centro,Cafetería,2026-10,"Conocimiento de productos",producto_ventas,4
sucursal,centro,Cafetería,2026-10,"Producto del mes",producto_ventas,4
sucursal,centro,Cafetería,2026-10,"Venta cruzada",producto_ventas,7
sucursal,centro,Cafetería,2026-10,"APP Cabaña Cash",producto_ventas,5
sucursal,centro,Cafetería,2026-10,"Menciona promociones",producto_ventas,4
sucursal,centro,Cafetería,2026-10,"Atención en mesa",atencion_mesa,2
sucursal,centro,Cafetería,2026-10,"Entrega de ticket",atencion_mesa,3
sucursal,centro,Cafetería,2026-10,"Tiempo de espera de atención",tiempos,3
sucursal,centro,Cafetería,2026-10,"Tiempo de preparación",tiempos,4
sucursal,centro,Cafetería,2026-10,"Cantidad de colaboradores",personal,1
sucursal,centro,Cafetería,2026-10,"Apariencia del personal",personal,2
sucursal,centro,Cafetería,2026-10,"Uso de tableta",personal,1
sucursal,centro,Cafetería,2026-10,"Pin personalizador",personal,4
sucursal,centro,Cafetería,2026-10,"Presentación del vaso",presentacion_producto,2
sucursal,centro,Cafetería,2026-10,"Presentación del café",presentacion_producto,7
sucursal,centro,Cafetería,2026-10,"Presentación de alimentos",presentacion_producto,4
sucursal,centro,Cafetería,2026-10,"Estado de la panera",presentacion_producto,2
sucursal,centro,Cafetería,2026-10,"Existencia",presentacion_producto,3
sucursal,centro,Cafetería,2026-10,"Limpieza de fachada",exteriores,4
sucursal,centro,Cafetería,2026-10,"Letrero/anuncio",exteriores,2
sucursal,centro,Cafetería,2026-10,"Iluminación",interiores,2
sucursal,centro,Cafetería,2026-10,"Puertas y vidrios",interiores,2
sucursal,centro,Cafetería,2026-10,"Música y volumen",interiores,1
sucursal,centro,Cafetería,2026-10,"Área de mostrador",interiores,3
sucursal,centro,Cafetería,2026-10,"Limpieza de mesas y sillas",interiores,3
sucursal,centro,Cafetería,2026-10,"Limpieza de pisos",interiores,3
sucursal,centro,Cafetería,2026-10,"Estado de baños",interiores,3
sucursal,centro,Cafetería,2026-10,"Limpieza de barra",interiores,2
sucursal,centro,Cafetería,2026-10,"Climatización",interiores,4
sucursal,centro,Cafetería,2026-10,"Estado de muebles",interiores,3
sucursal,olmeca,Cafetería,2026-09,"Contacto visual y saludo",bienvenida,4
sucursal,olmeca,Cafetería,2026-09,"Agradecimiento y despedida",bienvenida,2
sucursal,olmeca,Cafetería,2026-09,"Conocimiento de productos",producto_ventas,2
sucursal,olmeca,Cafetería,2026-09,"Producto del mes",producto_ventas,3
sucursal,olmeca,Cafetería,2026-09,"Venta cruzada",producto_ventas,5
sucursal,olmeca,Cafetería,2026-09,"APP Cabaña Cash",producto_ventas,9
sucursal,olmeca,Cafetería,2026-09,"Menciona promociones",producto_ventas,3
sucursal,olmeca,Cafetería,2026-09,"Atención en mesa",atencion_mesa,2
sucursal,olmeca,Cafetería,2026-09,"Entrega de ticket",atencion_mesa,3
sucursal,olmeca,Cafetería,2026-09,"Tiempo de espera de atención",tiempos,3
sucursal,olmeca,Cafetería,2026-09,"Tiempo de preparación",tiempos,4
sucursal,olmeca,Cafetería,2026-09,"Cantidad de colaboradores",personal,1
sucursal,olmeca,Cafetería,2026-09,"Apariencia del personal",personal,2
sucursal,olmeca,Cafetería,2026-09,"Uso de tableta",personal,1
sucursal,olmeca,Cafetería,2026-09,"Pin personalizador",personal,3
sucursal,olmeca,Cafetería,2026-09,"Presentación del vaso",presentacion_producto,2
sucursal,olmeca,Cafetería,2026-09,"Presentación del café",presentacion_producto,4
sucursal,olmeca,Cafetería,2026-09,"Presentación de alimentos",presentacion_producto,4
sucursal,olmeca,Cafetería,2026-09,"Estado de la panera",presentacion_producto,2
sucursal,olmeca,Cafetería,2026-09,"Existencia",presentacion_producto,5
sucursal,olmeca,Cafetería,2026-09,"Limpieza de fachada",exteriores,2
sucursal,olmeca,Cafetería,2026-09,"Letrero/anuncio",exteriores,2
sucursal,olmeca,Cafetería,2026-09,"Iluminación",interiores,2
sucursal,olmeca,Cafetería,2026-09,"Puertas y vidrios",interiores,2
sucursal,olmeca,Cafetería,2026-09,"Música y volumen",interiores,2
sucursal,olmeca,Cafetería,2026-09,"Área de mostrador",interiores,2
sucursal,olmeca,Cafetería,2026-09,"Limpieza de mesas y sillas",interiores,2
sucursal,olmeca,Cafetería,2026-09,"Limpieza de pisos",interiores,2
sucursal,olmeca,Cafetería,2026-09,"Estado de baños",interiores,4
sucursal,olmeca,Cafetería,2026-09,"Estado de botes de basura",interiores,2
sucursal,olmeca,Cafetería,2026-09,"Limpieza de barra",interiores,2
sucursal,olmeca,Cafetería,2026-09,"Climatización",interiores,4
sucursal,olmeca,Cafetería,2026-09,"Estado de muebles",interiores,2
sucursal,olmeca,Cafetería,2026-10,"Contacto visual y saludo",bienvenida,6
sucursal,olmeca,Cafetería,2026-10,"Agradecimiento y despedida",bienvenida,4
sucursal,olmeca,Cafetería,2026-10,"Conocimiento de productos",producto_ventas,4
sucursal,olmeca,Cafetería,2026-10,"Producto del mes",producto_ventas,4
sucursal,olmeca,Cafetería,2026-10,"Venta cruzada",producto_ventas,7
sucursal,olmeca,Cafetería,2026-10,"APP Cabaña Cash",producto_ventas,5
sucursal,olmeca,Cafetería,2026-10,"Menciona promociones",producto_ventas,4
sucursal,olmeca,Cafetería,2026-10,"Atención en mesa",atencion_mesa,2
sucursal,olmeca,Cafetería,2026-10,"Entrega de ticket",atencion_mesa,3
sucursal,olmeca,Cafetería,2026-10,"Tiempo de espera de atención",tiempos,3
sucursal,olmeca,Cafetería,2026-10,"Tiempo de preparación",tiempos,4
sucursal,olmeca,Cafetería,2026-10,"Cantidad de colaboradores",personal,1
sucursal,olmeca,Cafetería,2026-10,"Apariencia del personal",personal,2
sucursal,olmeca,Cafetería,2026-10,"Uso de tableta",personal,1
sucursal,olmeca,Cafetería,2026-10,"Pin personalizador",personal,4
sucursal,olmeca,Cafetería,2026-10,"Presentación del vaso",presentacion_producto,2
sucursal,olmeca,Cafetería,2026-10,"Presentación del café",presentacion_producto,7
sucursal,olmeca,Cafetería,2026-10,"Presentación de alimentos",presentacion_producto,4
sucursal,olmeca,Cafetería,2026-10,"Estado de la panera",presentacion_producto,2
sucursal,olmeca,Cafetería,2026-10,"Existencia",presentacion_producto,3
sucursal,olmeca,Cafetería,2026-10,"Limpieza de fachada",exteriores,4
sucursal,olmeca,Cafetería,2026-10,"Letrero/anuncio",exteriores,2
sucursal,olmeca,Cafetería,2026-10,"Iluminación",interiores,2
sucursal,olmeca,Cafetería,2026-10,"Puertas y vidrios",interiores,2
sucursal,olmeca,Cafetería,2026-10,"Música y volumen",interiores,1
sucursal,olmeca,Cafetería,2026-10,"Área de mostrador",interiores,3
sucursal,olmeca,Cafetería,2026-10,"Limpieza de mesas y sillas",interiores,3
sucursal,olmeca,Cafetería,2026-10,"Limpieza de pisos",interiores,3
sucursal,olmeca,Cafetería,2026-10,"Estado de baños",interiores,3
sucursal,olmeca,Cafetería,2026-10,"Estado de botes de basura",interiores,2
sucursal,olmeca,Cafetería,2026-10,"Limpieza de barra",interiores,2
sucursal,olmeca,Cafetería,2026-10,"Climatización",interiores,4
